source_head,source_site,receiver_kind,channel,tested,retained,max_absolute_mean,max_mean_absolute
L13H10,query_sentence,head,K,22,2,0.12715425491333,0.1406582832336425
L13H10,query_sentence,head,V,22,3,0.1852136611938476,0.1852136611938476
L13H10,query_sentence,mlp,,2,1,0.1813557624816894,0.1813557624816894
L13H18,fact1_mother,head,K,22,0,0.0227603912353515,0.0280887603759765
L13H18,fact1_mother,head,V,22,0,0.0111396789550781,0.0139198303222656
L13H18,fact1_mother,mlp,,2,0,0.0043397903442382,0.0205629348754882
L13H18,fact3_mother,head,K,22,0,0.0142829895019531,0.022157859802246
L13H18,fact3_mother,head,V,22,0,0.0075542449951171,0.0108346939086914
L13H18,fact3_mother,mlp,,2,0,0.008197021484375,0.0140090942382812
L13H18,fact3_template,head,K,22,0,0.0299295425415039,0.0349634170532226
L13H18,fact3_template,head,V,22,0,0.0097406387329101,0.0103250503540039
L13H18,fact3_template,mlp,,2,0,0.006406021118164,0.0118213653564453
L14H26,query_sentence,head,K,22,0,0.0647666931152343,0.0670967102050781
L14H26,query_sentence,head,V,22,1,0.1245119094848632,0.1245119094848632
L14H26,query_sentence,mlp,,2,0,0.039408540725708,0.0461498737335205
L15H25,query_child_last,head,K,22,0,0.0407049179077148,0.0537359237670898
L15H25,query_child_last,head,V,22,2,0.1917624473571777,0.1917624473571777
L15H25,query_child_last,mlp,,2,0,0.013077163696289,0.049808120727539
L16H1,colon,bypass,,1,0,0.0077371597290039,0.0136775970458984
L16H1,colon,head,KV,20,1,0.2038307189941406,0.2038307189941406
L16H1,colon,head,Q,20,3,0.3865299224853515,0.3865299224853515
L16H1,colon,mlp,,2,0,0.0800925254821777,0.0815054893493652
L16H21,colon,bypass,,1,0,0.016930866241455,0.0218632698059082
L16H21,colon,head,KV,20,1,0.1643734455108642,0.1649410724639892
L16H21,colon,head,Q,20,3,0.3539587020874023,0.3539587020874023
L16H21,colon,mlp,,2,0,0.0686209678649902,0.0904883384704589
L17H1,query_is_token,head,K,17,0,0.0221431255340576,0.0437640666961669
L17H1,query_is_token,head,V,17,5,0.9597070217132568,0.9597070217132568
L17H1,query_is_token,mlp,,2,0,0.0097187042236328,0.0292560577392578
L17H1,query_mother,head,K,17,0,0.0648469924926757,0.0799379348754882
L17H1,query_mother,head,V,17,7,1.210488986968994,1.210488986968994
L17H1,query_mother,mlp,,2,1,0.0809169769287109,0.1432186126708984
L17H1,query_period,head,K,17,0,0.0225278854370117,0.0390958786010742
L17H1,query_period,head,V,17,3,1.204773187637329,1.204773187637329
L17H1,query_period,mlp,,2,0,0.0612554550170898,0.0612554550170898
L17H24,colon,bypass,,1,1,0.1349227428436279,0.1349227428436279
L17H24,colon,head,KV,17,1,0.1008829116821289,0.1008829116821289
L17H24,colon,head,Q,17,0,0.0794018745422363,0.0810765266418457
L17H24,colon,mlp,,2,1,0.118683910369873,0.118683910369873
L17H3,colon,bypass,,1,0,0.0071746826171875,0.0089111328125
