config_id,comparator_config_id,source,site,receiver,channel,registry_section,is_direct_comparator,mediators,live_heads,raw_mean_signed,raw_mean_abs,increment_mean_signed,increment_mean_abs,increment_median,increment_std,positive_fraction,negative_fraction,sign_agreement,active_fraction,coherent,heterogeneous,retained,is_slot_control,extension_candidate,selected_for_extension,extension_priority
direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,direct_comparator_chain,True,none,none,0.0,0.0,,,,,,,,,,,,False,False,False,
direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_sentence,L18H18,Q,direct_comparator_chain,True,none,none,0.0,0.0,,,,,,,,,,,,False,False,False,
direct_chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=none,direct_chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_sentence,L18H19,Q,direct_comparator_chain,True,none,none,0.0,0.0,,,,,,,,,,,,False,False,False,
direct_chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=none,direct_chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H18,Q,direct_comparator_chain,True,none,none,0.0,0.0,,,,,,,,,,,,False,False,False,
direct_chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=none,direct_chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H6,Q,direct_comparator_chain,True,none,none,0.0,0.0,,,,,,,,,,,,False,False,False,
direct_chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=none,direct_chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=none,L17H1,query_writer_union,L22H5,Q,direct_comparator_chain,True,none,none,0.0,0.0,,,,,,,,,,,,False,False,False,
direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L27H6,Q,direct_comparator_chain,True,none,none,0.0,0.0,,,,,,,,,,,,False,False,False,
local|src=L20H7|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,local|src=L20H7|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,L20H7,colon,residual_to_logits,bypass,local,True,none,none,0.0345848083496093,0.0620414733886718,,,,,,,,,,,,False,False,False,
local|src=L26H23|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,local|src=L26H23|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,L26H23,colon,residual_to_logits,bypass,local,True,none,none,-0.2102710723876953,0.2102710723876953,,,,,,,,,,,,False,False,False,
local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=none|live=none,local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=none|live=none,L8H15,query_sentence,L18H18,V,local,True,none,none,0.4773667335510254,0.4773667335510254,,,,,,,,,,,,False,False,False,
local|src=L8H15|site=query_sentence|recv=L18H19|ch=V|med=none|live=none,local|src=L8H15|site=query_sentence|recv=L18H19|ch=V|med=none|live=none,L8H15,query_sentence,L18H19,V,local,True,none,none,0.451973819732666,0.451973819732666,,,,,,,,,,,,False,False,False,
