head,id,family,order,variant,j,site,self_event,argmax,argmax_anchor,attended_name,attended_role,attended_fact_query,attended_is_answer,dominance,qk_pass,attended_roles,contrast_first_all,others_first_all,collisions_first_all,contrast_first_same_role,others_first_same_role,collisions_first_same_role,contrast_last_all,others_last_all,collisions_last_all,contrast_last_same_role,others_last_same_role,collisions_last_same_role
L0H1,000/direct/base/0/order0,0,0,base,226,earlier,False,225,first,Jarlia,target,False,False,2.3858375549316406,False,target,,0,0,,0,0,,0,0,,0,0
L0H1,000/direct/base/0/order0,0,0,base,232,earlier,False,231,first,Kernna,source,False,False,7.94243860244751,True,source,-0.110992431640625,1,0,,0,0,0.21881103515625,1,0,,0,0
L0H1,000/direct/base/0/order0,0,0,base,236,earlier,False,235,middle,Rarnia,target,True,True,1.2882471084594727,False,target,-0.023064613342285156,2,0,0.02734375,1,0,0.0692596435546875,2,0,0.132537841796875,1,0
L0H1,000/direct/base/0/order0,0,0,base,237,earlier,False,236,last,Rarnia,target,True,True,1.3007429838180542,False,target,-0.0416412353515625,2,0,-0.070343017578125,1,0,0.01079559326171875,2,0,0.00844573974609375,1,0
L0H1,000/direct/base/0/order0,0,0,base,242,earlier,False,241,first,Jarlia,source,True,False,3.661444902420044,True,source;target,0.04132080078125,2,0,0.0345458984375,1,0,-0.0400543212890625,2,0,-0.0649566650390625,1,0
L0H1,000/direct/base/0/order0,0,0,base,247,earlier,False,246,middle,Kulnra,target,False,False,3.858534336090088,False,target,0.030928293863932293,3,0,0.053585052490234375,2,0,-0.08540852864583334,3,0,-0.0653533935546875,2,0
L0H1,000/direct/base/0/order0,0,0,base,248,earlier,False,247,last,Kulnra,target,False,False,1.1490594148635864,False,target,0.02141571044921875,3,0,0.032146453857421875,2,0,-0.026584307352701824,3,0,-0.029511451721191406,2,0
L0H1,000/direct/base/0/order0,0,0,base,253,earlier,False,252,first,Tilnia,source,False,False,4.428343772888184,True,source,0.12341117858886719,4,0,0.10038375854492188,2,0,-0.009796142578125,4,0,-0.013671875,2,0
L0H1,000/direct/base/0/order0,0,0,base,257,earlier,False,256,middle,Dirlna,target,False,False,4.473270416259766,False,target,-0.0723236083984375,5,0,-0.06124369303385417,3,0,0.024362182617187506,5,0,0.0369415283203125,3,0
L0H1,000/direct/base/0/order0,0,0,base,264,earlier,False,263,middle,Kulnra,source,False,False,6.975019454956055,True,source;target,-0.01997222900390625,5,0,-0.04592132568359375,3,0,-0.07661628723144531,5,0,-0.062957763671875,3,0
L2H21,000/direct/base/0/order0,0,0,base,226,earlier,False,225,first,Jarlia,target,False,False,1.2463138103485107,False,target,,0,0,,0,0,,0,0,,0,0
